,正式名称,id,年,所属,ライセンス,順位,勝ち点,PPG,営業収入,スポンサー収入,入場料収入,物販収入,Jリーグ配分金,移籍補償金等収入,国外クラブからの収入,国内クラブからの収入,アカデミー関連収入,女子チーム関連収入,その他収入,営業費用,チーム人件費,トップチーム運営経費,試合関連経費,物販関連費,移籍関連費用,国外クラブからの移籍に関する費用,国内クラブからの移籍に関する費用,アカデミー運営経費,女子チーム運営経費,その他売上原価,販売費および一般管理費,営業利益,営業外収益,営業外費用,経常利益,特別利益,特別損失,税引前当期利益,法人税および住民税等,当期純利益,関連する法人の営業収入,流動資産,固定資産等,総資産(資産の部),流動負債,固定負債,総負債(負債の部),資本金,資本剰余金等,利益剰余金,純資産(純資産の部),リーグ戦入場者数,リーグ戦ホーム試合数,リーグカップ入場者数,リーグカップホーム試合数,PO入場者数,POホーム試合数,ACL入場者数,ACLホーム試合数,年間総入場者数,年間ホーム試合数
C大阪,セレッソ大阪,15,2024,J1,J1,10,52,1.3684,5401,2737,1000,269,319,493,134,359,0,311,272,5125,1825,312,502,153,727,457,270,0,284,0,1322,276,71,36,311,0,0,311,2,309,Null,1847,632,2480,1479,236,1714,100,355,310,765,340163,19,7372,1,0,0,0,0,347535,20
神戸,ヴィッセル神戸,16,2024,J1,J1,1,72,1.8947,8067,2439,1309,962,678,11,1,10,259,0,2409,8215,2810,446,438,636,465,369,96,331,0,1039,2049,-148,48,29,-129,200,36,35,41,-6,Null,2111,1604,3715,2147,154,2301,98,561,755,1414,414414,19,0,0,0,0,18621,3,433035,22
広島,サンフレッチェ広島,17,2024,J1,J1,2,68,1.7895,8035,2719,2004,432,493,306,187,119,107,493,1481,7462,2682,484,587,317,566,433,133,312,467,989,1058,573,15,16,572,0,9,563,90,473,Null,2851,1626,4477,2153,517,2670,2099,52,-345,1807,486579,19,38917,2,0,0,28709,3,554205,24
福岡,アビスパ福岡,37,2024,J1,J1,12,50,1.3158,3053,1025,669,273,374,177,2,175,171,0,364,3037,1424,297,140,192,204,11,193,210,0,104,466,16,0,2,14,0,0,14,4,10,Null,537,322,859,1026,105,1131,442,513,-1227,-272,184271,19,0,0,0,0,0,0,184271,19
鳥栖,サガン鳥栖,18,2024,J1,J1,20,35,0.9211,3058,986,607,219,273,630,153,477,63,0,280,2841,1081,219,256,130,385,74,311,240,0,229,301,217,101,104,214,1,0,215,28,187,Null,971,292,1263,720,515,1235,395,225,-591,28,186206,19,2862,1,0,0,0,0,189068,20
仙台,ベガルタ仙台,2,2024,J2,J1,6,64,1.6842,2500,1591,433,23,127,24,0,24,93,0,209,2376,734,274,227,5,141,141,0,270,0,289,436,124,7,7,124,0,0,124,18,106,Null,715,785,1500,561,556,1117,780,327,-724,383,253286,19,0,0,0,0,0,0,253286,19
秋田,ブラウブリッツ秋田,42,2024,J2,J1,10,54,1.4211,1007,527,55,62,108,23,0,23,73,0,159,1089,296,163,80,72,3,0,3,128,0,16,331,-82,30,2,-54,0,0,-54,3,-57,Null,290,102,392,257,122,379,58,52,-97,13,78426,19,4145,2,0,0,0,0,82571,21
山形,モンテディオ山形,19,2024,J2,J1,4,66,1.7368,2612,1053,366,257,112,48,0,48,0,0,776,2584,725,257,205,175,128,0,128,0,0,616,478,28,18,6,40,0,0,40,10,30,270,639,317,956,463,274,737,10,0,209,219,195031,19,0,0,18006,1,0,0,213037,20
いわき,いわきFC,58,2024,J2,J1,9,54,1.4211,1408,502,129,173,107,164,0,164,8,0,325,1418,367,149,104,85,6,1,5,51,0,0,656,-10,17,0,7,0,0,7,1,6,Null,426,173,599,488,35,523,5,0,72,77,81516,19,3618,1,0,0,0,0,85134,20
水戸,水戸ホーリーホック,20,2024,J2,J1,15,44,1.1579,1224,641,136,98,101,93,0,93,41,0,114,1224,372,128,124,72,14,0,14,95,0,0,419,0,1,2,-1,6,2,3,1,2,54,544,85,630,248,209,457,100,136,-63,173,83717,19,0,0,0,0,0,0,83717,19
栃木SC,栃木SC,44,2024,J2,J1,18,34,0.8947,1199,650,163,136,107,2,0,2,95,0,46,1195,339,172,110,57,4,0,4,124,0,143,246,4,2,1,5,0,0,5,2,3,Null,348,54,402,215,12,227,315,115,-254,176,118529,19,0,0,0,0,0,0,118529,19
群馬,ザスパクサツ群馬,21,2024,J2,J1,20,18,0.4737,1007,480,100,109,105,61,0,61,48,0,104,1094,326,115,106,96,21,0,21,77,0,215,138,-87,16,1,-72,0,22,-94,3,-97,Null,241,84,325,270,51,321,318,161,-475,4,75775,19,3660,2,0,0,0,0,79435,21
千葉,ジェフユナイテッド千葉,22,2024,J2,J1,7,61,1.6053,3197,1713,382,276,122,274,192,82,132,157,141,3155,889,336,154,200,241,161,80,295,238,253,549,43,13,15,41,0,17,24,8,16,Null,1249,645,1894,1022,473,1495,490,390,-482,398,198184,19,0,0,0,0,0,0,198184,19
横浜FC,横浜FC,25,2024,J2,J1,2,76,2.0000,3314,1441,327,200,111,426,100,325,260,0,550,3438,1407,298,250,193,211,100,111,374,0,22,683,-124,28,5,-102,0,0,-102,-1,-101,Null,827,288,1115,459,329,788,100,327,-100,327,132294,19,3423,1,0,0,0,0,135717,20
甲府,ヴァンフォーレ甲府,10,2024,J2,J1,14,45,1.1842,1748,780,313,244,113,151,0,151,20,0,127,1747,476,206,165,184,142,15,127,123,0,11,440,1,12,5,8,0,0,8,5,3,Null,591,179,770,304,149,453,367,0,-50,317,157211,19,10273,1,0,0,15932,1,183416,21
清水,清水エスパルス,12,2024,J2,J1,1,82,2.1579,5003,2510,941,233,135,514,0,514,358,0,312,4935,2157,426,351,36,396,0,396,298,0,0,1271,68,12,1,79,0,52,27,1,26,Null,635,844,1479,1143,148,1291,90,0,98,188,337247,19,0,0,0,0,0,0,337247,19
藤枝,藤枝MYFC,49,2024,J2,J1,13,46,1.2105,907,449,137,66,101,53,0,53,29,6,65,936,270,153,89,68,16,0,15,53,6,27,253,-29,15,2,-16,0,0,-16,0,-17,Null,206,110,316,113,78,191,90,238,-204,124,81210,19,0,0,0,0,0,0,81210,19
岡山,ファジアーノ岡山,32,2024,J2,J1,5,65,1.7105,2036,910,293,237,126,0,0,0,0,0,470,2144,668,173,146,194,74,7,67,0,0,383,506,-108,0,6,-114,49,0,-65,-40,-25,Null,1094,647,1742,1105,377,1482,88,220,-48,260,174572,19,2827,1,14673,1,0,0,192072,21
山口,レノファ山口FC,33,2024,J2,J1,11,53,1.3947,1251,589,150,168,109,72,0,72,43,5,116,1280,447,159,105,102,8,0,8,123,15,-1,323,-29,2,3,-30,0,0,-30,0,-30,Null,364,65,430,174,16,190,100,92,48,240,115696,19,0,0,0,0,0,0,115696,19
徳島,徳島ヴォルティス,35,2024,J2,J1,8,55,1.4474,2731,1329,154,157,108,711,614,97,95,0,177,2540,1010,230,100,153,274,112,161,236,0,0,537,191,13,0,204,0,0,204,102,102,Null,1326,581,1907,369,76,445,409,0,1053,1462,115031,19,0,0,0,0,0,0,115031,19
愛媛,愛媛FC,36,2024,J2,J1,17,40,1.0526,1119,540,78,93,102,31,0,31,98,92,85,1058,316,140,44,60,9,2,7,144,68,0,277,61,10,2,69,0,0,69,11,58,Null,324,136,460,140,12,152,408,0,-99,309,89700,19,1411,1,0,0,0,0,91111,20
長崎,V・ファーレン長崎,38,2024,J2,J1,3,75,1.9737,2352,1274,548,152,131,18,0,18,80,0,149,3577,1519,215,415,139,80,0,80,268,0,0,941,-1225,40,7,-1192,1200,0,8,6,2,Null,2148,112,2260,2234,0,2234,350,0,-324,26,186462,19,16966,3,20001,1,0,0,223429,23
熊本,ロアッソ熊本,39,2024,J2,J1,12,46,1.2105,1133,488,169,105,105,77,16,61,0,0,188,1004,273,99,148,92,0,0,0,84,0,0,308,128,3,1,131,0,22,108,48,60,Null,796,27,823,466,60,526,380,0,-82,298,117356,19,4120,1,0,0,0,0,121476,20
大分,大分トリニータ,40,2024,J2,J1,16,43,1.1316,1819,784,361,167,114,187,0,187,48,0,158,1740,548,181,106,151,99,30,69,142,11,137,365,79,5,1,83,0,0,83,12,71,Null,523,91,614,400,6,406,134,134,-60,208,196848,19,0,0,0,0,0,0,196848,19
